class_date,level_category,language,course_type,q_predicted
2018-03-04 06:30:00,True Beginner,Spanish,Live,3
2018-03-04 07:00:00,True Beginner,Spanish,Live,3
2018-03-04 07:30:00,True Beginner,Spanish,Live,4
2018-03-04 08:00:00,True Beginner,Spanish,Live,7
2018-03-04 08:30:00,True Beginner,Spanish,Live,7
2018-03-04 09:00:00,True Beginner,Spanish,Live,13
2018-03-04 09:30:00,True Beginner,Spanish,Live,12
2018-03-04 10:00:00,True Beginner,Spanish,Live,15
2018-03-04 10:30:00,True Beginner,Spanish,Live,17
2018-03-04 11:00:00,True Beginner,Spanish,Live,17
2018-03-04 11:30:00,True Beginner,Spanish,Live,18
2018-03-04 12:00:00,True Beginner,Spanish,Live,19
2018-03-04 12:30:00,True Beginner,Spanish,Live,19
2018-03-04 13:00:00,True Beginner,Spanish,Live,19
2018-03-04 13:30:00,True Beginner,Spanish,Live,20
2018-03-04 14:00:00,True Beginner,Spanish,Live,19
2018-03-04 14:30:00,True Beginner,Spanish,Live,20
2018-03-04 15:00:00,True Beginner,Spanish,Live,21
2018-03-04 15:30:00,True Beginner,Spanish,Live,21
2018-03-04 16:00:00,True Beginner,Spanish,Live,25
2018-03-04 16:30:00,True Beginner,Spanish,Live,25
2018-03-04 17:00:00,True Beginner,Spanish,Live,26
2018-03-04 17:30:00,True Beginner,Spanish,Live,28
2018-03-04 18:00:00,True Beginner,Spanish,Live,29
2018-03-04 18:30:00,True Beginner,Spanish,Live,30
2018-03-04 19:00:00,True Beginner,Spanish,Live,31
2018-03-04 19:30:00,True Beginner,Spanish,Live,34
2018-03-04 20:00:00,True Beginner,Spanish,Live,33
2018-03-04 20:30:00,True Beginner,Spanish,Live,36
2018-03-04 21:00:00,True Beginner,Spanish,Live,38
2018-03-04 21:30:00,True Beginner,Spanish,Live,37
2018-03-04 22:00:00,True Beginner,Spanish,Live,36
2018-03-04 22:30:00,True Beginner,Spanish,Live,30
2018-03-04 23:00:00,True Beginner,Spanish,Live,27
2018-03-04 23:30:00,True Beginner,Spanish,Live,18
2018-02-26 00:00:00,True Beginner,Spanish,Private,0
2018-02-26 00:30:00,True Beginner,Spanish,Private,1
2018-02-26 01:00:00,True Beginner,Spanish,Private,1
2018-02-26 01:30:00,True Beginner,Spanish,Private,1
2018-02-26 02:00:00,True Beginner,Spanish,Private,1
2018-02-26 02:30:00,True Beginner,Spanish,Private,0
2018-02-26 03:00:00,True Beginner,Spanish,Private,0
2018-02-26 03:30:00,True Beginner,Spanish,Private,0
2018-02-26 04:00:00,True Beginner,Spanish,Private,0
2018-02-26 04:30:00,True Beginner,Spanish,Private,0
2018-02-26 05:00:00,True Beginner,Spanish,Private,0
2018-02-26 05:30:00,True Beginner,Spanish,Private,0
2018-02-26 06:00:00,True Beginner,Spanish,Private,0
2018-02-26 06:30:00,True Beginner,Spanish,Private,0
2018-02-26 07:00:00,True Beginner,Spanish,Private,1
2018-02-26 07:30:00,True Beginner,Spanish,Private,1
2018-02-26 08:00:00,True Beginner,Spanish,Private,1
2018-02-26 08:30:00,True Beginner,Spanish,Private,1
2018-02-26 09:00:00,True Beginner,Spanish,Private,1
2018-02-26 09:30:00,True Beginner,Spanish,Private,1
2018-02-26 10:00:00,True Beginner,Spanish,Private,1
2018-02-26 10:30:00,True Beginner,Spanish,Private,1
2018-02-26 11:00:00,True Beginner,Spanish,Private,1
2018-02-26 11:30:00,True Beginner,Spanish,Private,1
2018-02-26 12:00:00,True Beginner,Spanish,Private,2
2018-02-26 12:30:00,True Beginner,Spanish,Private,2
2018-02-26 13:00:00,True Beginner,Spanish,Private,1
2018-02-26 13:30:00,True Beginner,Spanish,Private,1
2018-02-26 14:00:00,True Beginner,Spanish,Private,2
2018-02-26 14:30:00,True Beginner,Spanish,Private,2
2018-02-26 15:00:00,True Beginner,Spanish,Private,2
2018-02-26 15:30:00,True Beginner,Spanish,Private,2
2018-02-26 16:00:00,True Beginner,Spanish,Private,2
2018-02-26 16:30:00,True Beginner,Spanish,Private,2
2018-02-26 17:00:00,True Beginner,Spanish,Private,2
2018-02-26 17:30:00,True Beginner,Spanish,Private,2
2018-02-26 18:00:00,True Beginner,Spanish,Private,2
2018-02-26 18:30:00,True Beginner,Spanish,Private,3
2018-02-26 19:00:00,True Beginner,Spanish,Private,3
2018-02-26 19:30:00,True Beginner,Spanish,Private,3
2018-02-26 20:00:00,True Beginner,Spanish,Private,4
2018-02-26 20:30:00,True Beginner,Spanish,Private,3
2018-02-26 21:00:00,True Beginner,Spanish,Private,4
2018-02-26 21:30:00,True Beginner,Spanish,Private,4
2018-02-26 22:00:00,True Beginner,Spanish,Private,4
2018-02-26 22:30:00,True Beginner,Spanish,Private,4
2018-02-26 23:00:00,True Beginner,Spanish,Private,3
2018-02-26 23:30:00,True Beginner,Spanish,Private,2
2018-02-27 00:00:00,True Beginner,Spanish,Private,0
2018-02-27 00:30:00,True Beginner,Spanish,Private,1
2018-02-27 01:00:00,True Beginner,Spanish,Private,1
2018-02-27 01:30:00,True Beginner,Spanish,Private,1
2018-02-27 02:00:00,True Beginner,Spanish,Private,0
2018-02-27 02:30:00,True Beginner,Spanish,Private,0
2018-02-27 03:00:00,True Beginner,Spanish,Private,0
2018-02-27 03:30:00,True Beginner,Spanish,Private,0
2018-02-27 04:00:00,True Beginner,Spanish,Private,0
2018-02-27 04:30:00,True Beginner,Spanish,Private,0
2018-02-27 05:00:00,True Beginner,Spanish,Private,0
2018-02-27 05:30:00,True Beginner,Spanish,Private,0
2018-02-27 06:00:00,True Beginner,Spanish,Private,0
2018-02-27 06:30:00,True Beginner,Spanish,Private,0
2018-02-27 07:00:00,True Beginner,Spanish,Private,0
2018-02-27 07:30:00,True Beginner,Spanish,Private,0
2018-02-27 08:00:00,True Beginner,Spanish,Private,0
2018-02-27 08:30:00,True Beginner,Spanish,Private,1
2018-02-27 09:00:00,True Beginner,Spanish,Private,1
2018-02-27 09:30:00,True Beginner,Spanish,Private,1
2018-02-27 10:00:00,True Beginner,Spanish,Private,1
2018-02-27 10:30:00,True Beginner,Spanish,Private,1
2018-02-27 11:00:00,True Beginner,Spanish,Private,1
2018-02-27 11:30:00,True Beginner,Spanish,Private,1
2018-02-27 12:00:00,True Beginner,Spanish,Private,1
2018-02-27 12:30:00,True Beginner,Spanish,Private,1
2018-02-27 13:00:00,True Beginner,Spanish,Private,1
2018-02-27 13:30:00,True Beginner,Spanish,Private,1
2018-02-27 14:00:00,True Beginner,Spanish,Private,1
2018-02-27 14:30:00,True Beginner,Spanish,Private,1
2018-02-27 15:00:00,True Beginner,Spanish,Private,2
2018-02-27 15:30:00,True Beginner,Spanish,Private,2
2018-02-27 16:00:00,True Beginner,Spanish,Private,2
2018-02-27 16:30:00,True Beginner,Spanish,Private,2
2018-02-27 17:00:00,True Beginner,Spanish,Private,2
2018-02-27 17:30:00,True Beginner,Spanish,Private,2
2018-02-27 18:00:00,True Beginner,Spanish,Private,2
2018-02-27 18:30:00,True Beginner,Spanish,Private,3
2018-02-27 19:00:00,True Beginner,Spanish,Private,3
2018-02-27 19:30:00,True Beginner,Spanish,Private,3
2018-02-27 20:00:00,True Beginner,Spanish,Private,4
2018-02-27 20:30:00,True Beginner,Spanish,Private,4
2018-02-27 21:00:00,True Beginner,Spanish,Private,4
2018-02-27 21:30:00,True Beginner,Spanish,Private,5
2018-02-27 22:00:00,True Beginner,Spanish,Private,5
2018-02-27 22:30:00,True Beginner,Spanish,Private,4
2018-02-27 23:00:00,True Beginner,Spanish,Private,4
2018-02-27 23:30:00,True Beginner,Spanish,Private,3
2018-02-28 00:00:00,True Beginner,Spanish,Private,2
2018-02-28 00:30:00,True Beginner,Spanish,Private,1
2018-02-28 01:00:00,True Beginner,Spanish,Private,1
2018-02-28 01:30:00,True Beginner,Spanish,Private,1
2018-02-28 02:00:00,True Beginner,Spanish,Private,0
2018-02-28 02:30:00,True Beginner,Spanish,Private,0
2018-02-28 03:00:00,True Beginner,Spanish,Private,0
2018-02-28 03:30:00,True Beginner,Spanish,Private,0
2018-02-28 04:00:00,True Beginner,Spanish,Private,0
2018-02-28 04:30:00,True Beginner,Spanish,Private,0
2018-02-28 05:00:00,True Beginner,Spanish,Private,0
2018-02-28 05:30:00,True Beginner,Spanish,Private,0
2018-02-28 06:00:00,True Beginner,Spanish,Private,0
2018-02-28 06:30:00,True Beginner,Spanish,Private,0
2018-02-28 07:00:00,True Beginner,Spanish,Private,0
2018-02-28 07:30:00,True Beginner,Spanish,Private,0
2018-02-28 08:00:00,True Beginner,Spanish,Private,1
2018-02-28 08:30:00,True Beginner,Spanish,Private,1
2018-02-28 09:00:00,True Beginner,Spanish,Private,1
2018-02-28 09:30:00,True Beginner,Spanish,Private,1
2018-02-28 10:00:00,True Beginner,Spanish,Private,1
2018-02-28 10:30:00,True Beginner,Spanish,Private,1
2018-02-28 11:00:00,True Beginner,Spanish,Private,1
2018-02-28 11:30:00,True Beginner,Spanish,Private,1
2018-02-28 12:00:00,True Beginner,Spanish,Private,2
