class_date,course_type,level_category,language,predicted_q
2018-02-26 11:00:00.000,Private,True Beginner,Portuguese,0
2018-02-26 11:00:00.000,Live,Intermediate,Portuguese,2
2018-02-26 11:00:00.000,Private,Intermediate,Spanish,1
2018-02-26 11:00:00.000,Live,High Beginner,Spanish,20
2018-02-26 11:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 11:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 11:30:00.000,Live,High Beginner,Spanish,18
2018-02-26 11:30:00.000,Private,Intermediate,Spanish,1
2018-02-26 11:30:00.000,Live,Intermediate,Portuguese,2
2018-02-26 11:30:00.000,Private,True Beginner,Portuguese,0
2018-02-26 11:30:00.000,Live,True Beginner,Portuguese,3
2018-02-26 11:30:00.000,Live,Intermediate,Spanish,12
2018-02-26 11:30:00.000,Private,High Beginner,Portuguese,1
2018-02-26 11:30:00.000,Private,True Beginner,Spanish,1
2018-02-26 11:30:00.000,Live,True Beginner,Spanish,17
2018-02-26 11:30:00.000,Private,High Beginner,Spanish,2
2018-02-26 11:30:00.000,Live,High Beginner,Portuguese,4
2018-02-26 12:00:00.000,Live,High Beginner,Portuguese,5
2018-02-26 12:00:00.000,Private,High Beginner,Spanish,2
2018-02-26 12:00:00.000,Live,True Beginner,Spanish,21
2018-02-26 12:00:00.000,Private,True Beginner,Spanish,2
2018-02-26 12:00:00.000,Private,High Beginner,Portuguese,1
2018-02-26 12:00:00.000,Live,Intermediate,Spanish,12
2018-02-26 12:00:00.000,Live,True Beginner,Portuguese,3
2018-02-26 12:00:00.000,Private,True Beginner,Portuguese,0
2018-02-26 12:00:00.000,Live,Intermediate,Portuguese,2
2018-02-26 12:00:00.000,Private,Intermediate,Spanish,1
2018-02-26 12:00:00.000,Live,High Beginner,Spanish,19
2018-02-26 12:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 12:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 12:30:00.000,Live,High Beginner,Spanish,17
2018-02-26 12:30:00.000,Private,Intermediate,Spanish,1
2018-02-26 12:30:00.000,Live,Intermediate,Portuguese,2
2018-02-26 12:30:00.000,Private,True Beginner,Portuguese,0
2018-02-26 12:30:00.000,Live,True Beginner,Portuguese,4
2018-02-26 12:30:00.000,Live,Intermediate,Spanish,11
2018-02-26 12:30:00.000,Private,High Beginner,Portuguese,1
2018-02-26 12:30:00.000,Private,True Beginner,Spanish,2
2018-02-26 12:30:00.000,Live,True Beginner,Spanish,21
2018-02-26 12:30:00.000,Private,High Beginner,Spanish,2
2018-02-26 12:30:00.000,Live,High Beginner,Portuguese,3
2018-02-26 13:00:00.000,Live,High Beginner,Portuguese,6
2018-02-26 13:00:00.000,Private,High Beginner,Spanish,2
2018-02-26 13:00:00.000,Live,True Beginner,Spanish,18
2018-02-26 13:00:00.000,Private,True Beginner,Spanish,1
2018-02-26 13:00:00.000,Private,High Beginner,Portuguese,1
2018-02-26 13:00:00.000,Live,Intermediate,Spanish,12
2018-02-26 13:00:00.000,Live,True Beginner,Portuguese,5
2018-02-26 13:00:00.000,Private,True Beginner,Portuguese,1
2018-02-26 13:00:00.000,Live,Intermediate,Portuguese,2
2018-02-26 13:00:00.000,Private,Intermediate,Spanish,1
2018-02-26 13:00:00.000,Live,High Beginner,Spanish,19
2018-02-26 13:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 13:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 13:30:00.000,Live,High Beginner,Spanish,22
2018-02-26 13:30:00.000,Private,Intermediate,Spanish,1
2018-02-26 13:30:00.000,Live,Intermediate,Portuguese,3
2018-02-26 13:30:00.000,Private,True Beginner,Portuguese,0
2018-02-26 13:30:00.000,Live,True Beginner,Portuguese,4
2018-02-26 13:30:00.000,Live,Intermediate,Spanish,12
2018-02-26 13:30:00.000,Private,High Beginner,Portuguese,1
2018-02-26 13:30:00.000,Private,True Beginner,Spanish,1
2018-02-26 13:30:00.000,Live,True Beginner,Spanish,21
2018-02-26 13:30:00.000,Private,High Beginner,Spanish,2
2018-02-26 13:30:00.000,Live,High Beginner,Portuguese,6
2018-02-26 14:00:00.000,Live,High Beginner,Portuguese,6
2018-02-26 14:00:00.000,Private,High Beginner,Spanish,2
