class_date,course_type,level_category,language,predicted_q,final_q
2017-11-06 09:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 09:30:00.000,Live,True Beginner,Spanish,8.0489,8
2017-11-06 09:30:00.000,Private,High Beginner,Portuguese,0.588,1
2017-11-06 09:30:00.000,Private,True Beginner,Spanish,1.3521,1
2017-11-06 09:30:00.000,Live,High Beginner,Portuguese,2.5577,3
2017-11-06 09:30:00.000,Private,Intermediate,Spanish,0.0635,0
2017-11-06 09:30:00.000,Live,Intermediate,Portuguese,1.8095,2
2017-11-06 09:30:00.000,Live,True Beginner,Portuguese,1.847,2
2017-11-06 09:30:00.000,Private,High Beginner,Spanish,1.622,2
2017-11-06 09:30:00.000,Live,Intermediate,Spanish,8.8312,9
2017-11-06 09:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 10:00:00.000,Live,Intermediate,Portuguese,1.5843,2
2017-11-06 10:00:00.000,Live,True Beginner,Portuguese,1.5092,2
2017-11-06 10:00:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 10:00:00.000,Private,Intermediate,Spanish,0.1762,0
2017-11-06 10:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 10:00:00.000,Live,High Beginner,Spanish,14.5537,15
2017-11-06 10:00:00.000,Live,Intermediate,Spanish,8.8629,9
2017-11-06 10:00:00.000,Live,High Beginner,Portuguese,2.4451,2
2017-11-06 10:00:00.000,Live,True Beginner,Spanish,8.9717,9
2017-11-06 10:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 10:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 10:00:00.000,Private,High Beginner,Spanish,1.8472,2
2017-11-06 10:30:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 10:30:00.000,Live,High Beginner,Spanish,13.9686,14
2017-11-06 10:30:00.000,Private,True Beginner,Spanish,0.9113,1
2017-11-06 10:30:00.000,Live,Intermediate,Portuguese,1.6969,2
2017-11-06 10:30:00.000,Live,Intermediate,Spanish,7.6022,8
